a-pinene	ß-Thujene	(+)-Camphene	Camphene	B-pinene	sabinene	a-Fenchene	3-carene	Cosmene	a-Thujene	B-myrcene	a-Terpinene	D-limonene	ß-Phellandrene	Eucalyptol	trans-ß-Ocimene	Y-terpinene	ß-cis-Ocimene	o-cymene	Terpinolene	p-Cymenene	trans-2-Pinanol	Linalool	Patchoulene	a-Bergamotene	Sabinene hydrate	a-Gurjunene/beta	a-Cubebene	ß-Guaiene	γ-amorphene	B-elemene	Caryophyllene	ß-Famesene	Terpinen-4-ol	(cis-)a-Bisabolene	a-Elemene	humulene	a-Bulnesene	δ-candinene	γ-elemene	a-Terpineol	alfa.-Copaene	ß-copaene	a-ylangene	ß-ylangene	a-Guaiene	ß-Guaiene	ß-Longipinene	Germacrene B	a-acorenol	Ethyl iso-allocholate	a-Amorphene	γ-Muurolene	Germacrene D	a-Himachalene	Nerolidyl acetate	Isomenthol acetate	Eremophilene	ß-Selinene
10386253	0	0	205206	375088	0	0	28432	0	0	1903268	339496	4699055	62850	0	0	1071594	0	270884	160484	0	0	35761	0	0	0	0	0	0	0	0	0	0	0	38769	0	0	0	0	0	0	0	0	0	0	0	0	22057	0	0	29095	0	0	0	0	0	0	0	0
15190073	251148	0	496721	832304	718531	0	48500	0	0	1759818	83857	6980621	0	248978	0	301425	11377	189274	60012	0	0	0	0	0	0	0	0	0	0	20321	67267	10090	0	0	0	0	0	0	0	40640	0	113843	0	0	0	0	0	0	26603	54982	0	0	17468	0	0	0	0	0
7969913	291445	0	340855	590798	1809820	0	27807	0	0	2692949	167354	4652242	262905	0	0	791500	7321	136378	175906	0	0	72966	0	0	0	0	0	0	0	0	70017	0	0	0	0	44014	0	0	0	0	0	0	0	0	0	0	0	0	0	8619	0	0	173208	0	0	0	0	0
21136477	963747	0	426389	958412	4555752	0	37074	13569	0	3880871	305600	1114552	262905	0	0	1237192	6565	294851	175906	0	0	89385	0	0	29286	0	13310	0	0	27039	88384	5351	0	0	0	54725	0	84004	0	0	0	6946	0	0	0	0	0	57373	0	164775	0	0	157461	0	0	0	0	0
15967896	448923	0	273527	903941	51378	0	168058	0	121254	2391118	365214	2401899	221214	0	0	1204120	22990	298378	156030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55835	0	0	0	0	0	0	0	0	0	0	17668	102273	0	0	62188	0	0	0	0	0
7250623	277543	0	374692	694143	142592	0	99934	0	67739	1441736	269262	1673091	136582	0	0	930128	16036	307501	123946	0	0	32429	0	0	0	0	0	0	0	0	30184	0	0	14750	0	0	0	17816	0	0	15342	35951	7843	0	0	0	0	0	16162	121757	0	0	0	0	0	0	0	0
38997083	963747	39250	833155	3420124	89242	0	88730	0	34572	5383215	501011	8304902	200995	0	0	1682086	66722	947527	432347	0	0	25206	0	15015	0	0	0	0	0	0	69716	0	0	0	0	98284	0	124053	0	0	89649	18053	0	0	0	0	0	0	17668	102273	0	0	62188	0	0	0	0	0
19843494	764716	0	373263	653048	2396138	0	24942	0	0	2475932	339496	703820	63648	0	0	696336	0	153911	117145	0	0	35913	0	0	0	0	0	9559	0	22214	46044	0	0	26841	0	0	0	28202	0	0	22967	0	18178	0	0	0	0	0	20941	60144	0	0	0	0	0	0	0	0
13739597	509876	0	212699	925468	1657074	0	23968	0	0	2053361	146709	5839250	63916	0	0	1133235	0	136759	101309	0	0	0	0	0	0	0	20499	0	0	17762	53737	0	0	0	0	26342	0	31163	0	0	22588	10533	20834	0	0	0	0	20941	0	0	0	0	92561	0	0	0	0	0
112351407	3323969	122682	1586832	6892830	14505850	0	99762	58167	0	16113251	1103382	6486854	590523	0	0	2130606	40072	528904	1013311	0	0	24059	0	67620	198791	0	613324	0	245475	636879	1352513	316025	86052	0	0	831230	43071	1618447	61898	0	787542	61479	20834	0	0	0	0	548826	0	60144	515317	94293	2506666	0	0	0	0	0
