alpha-pinene	beta-thujene	camphene	beta-pinene	sabinene	alpha-fenchene	3-carene	cosmene	alpha-thujene	beta-myrcene	alpha-terpinene	D-limonene	beta-phellandrene	eucalyptol	trans-beta-ocimene	gamma-terpinene	beta-ocimene	o-cymene	terpinolene	p-cymenene	trans-2-Pinanol	camphor	linalool	patchoulene	alpha-bergamotene	sabinene hydrate	cis-sabinene hydrate	trans-sabinene hydrate	alpha-gurjunene/beta	alpha-cubebene	beta-guaiene	gamma-amorphene	beta-elemene	caryophyllene	beta-farnesene	terpinen-4-ol	estragole	cis-alpha-bisabolene	alpha-elemene	humulene	alpha-bulnesene	delta-cadinene	gamma-elemene	alpha-terpineol	citral	citronellol	alpha-copaene	beta-copaene	alpha-ylangene	beta-ylangene	alpha-guaiene	beta-longipinene	germacrene B	alpha-acorenol	ethyl iso-allocholate	alpha-amorphene	alpha-muurolene	germacrene D	alpha-himachalene	nerolidyl acetate	isomenthol acetate	eremophilene	beta-selinene	(+)-sylvestrene	cis-cinnamaldehyde	alpha-cadinol	nerol
452853	0	19474	17738	0	0	0	0	0	125572	23218	349039	0	0	0	91131.69	0	60719	18109	0	0	66206	1230408	0	0	25500	0	0	0	0	0	0	0	0	0	289651	0	0	0	0	0	0	0	179516	0	0	0	0	0	0	0	0	0	24258	0	0	0	0	0	0	0	0	0	0	0	24030	19741
64166	0	0	20323	57088	0	0	0	0	58787	0	132204	34088	0	0	0	0	10063	3662	0	0	95909	1814709	0	0	0	30987	0	0	0	0	0	0	0	0	130540	0	0	0	0	0	0	10781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41232	0	0	0	0	0	0	0	0	62840
147009	0	0	22978	0	0	31908	0	103257	52671	0	0	0	0	0	0	0	12598	4640	0	0	64610	1205334	0	0	0	0	0	0	0	0	0	0	0	0	124330	0	0	0	0	0	0	6221	12463	0	0	0	0	18224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14951	43094
143774	0	0	25507	0	0	49059	0	0	0	0	0	0	0	0	0	0	17068	5066	0	0	32189	544257	0	0	0	0	0	0	0	0	0	0	4348	0	177096	0	0	0	0	0	0	7825	40355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26068	10588	0
522686	17663	18885	41477	0	0	63874	0	0	170106	0	68068	0	0	0	0	0	20083	11679	0	0	85183	1505381	0	0	0	0	0	0	0	0	0	0	6538	0	119252	0	0	0	26443	0	0	24499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54923	0	0	0	0	0	0	0	0	43381
371689	23976	15184	72963	144013	0	0	0	0	188296	20487	671021	0	0	0	108977.07	0	0	14415	0	0	44139	659777	0	0	0	0	0	0	0	0	0	0	20790	0	63142	0	0	0	0	0	64709	30978	13364	47111	0	0	0	0	0	0	0	0	0	0	0	0	64133	0	0	0	0	0	0	0	0	0
284380	0	0	62964	115585	0	0	0	0	65112	0	60314	0	221352	0	0	0	0	11890	0	0	26155	465580	33032	0	147413	0	0	0	0	0	0	0	69686	0	2445546	0	0	0	71119	0	0	91984	0	0	70743	0	38019	20917	134639	0	47529	0	0	0	0	0	265268	0	0	0	0	0	0	0	171390	41690
79502	0	0	20850	0	0	0	0	0	58388	0	27498	0	0	0	0	0	15983	0	0	0	200313	4387784	0	0	0	0	0	0	0	30085	0	0	0	0	1380164	5986	0	0	0	0	0	0	211796	41646	31993	0	31518	0	49580	0	0	0	64511	0	0	0	0	0	0	0	0	0	0	244624	157581	82248
625509	0	34472	58769	210485	0	0	0	41782	270328	0	382588	0	191998	0	57236.38	0	59401	21641	0	0	145912	2676367	0	0	35285	0	0	0	0	0	0	11663	27546	0	269268	19389	0	0	18972	0	0	61068	200915	0	0	0	0	12018	0	0	0	0	0	0	0	0	69094	0	0	0	0	0	0	0	21416	120066
3101742	0	51452	960787	377821	0	80230	0	0	991808	0	4897967	46653	0	0	484756.57	0	296221	37704	0	0	31261	138943	0	0	102096	0	0	0	0	0	0	15037	175063	0	698837	0	0	0	37898	0	0	0	0	32808	40083	0	6374	0	0	0	0	0	13698	0	0	0	0	0	0	0	0	0	0	0	0	1225745
